Palette Number,Name,R (dec),G (dec),B (dec),R (hex),G (hex),B (hex),RGB (hex),RGBA (hex),,,,
#Okabe&Ito,,,,,,,,,,,,,
0,Black,0,0,0,0,0,0,000000,000000ff,,,,
0,Orange,230,159,0,e6,9f,0,e69f00,e69f00ff,,,,
0,Sky blue,86,180,233,56,b4,e9,56b4e9,56b4e9ff,,,,
0,Bluish green,0,158,115,0,9e,73,009e73,009e73ff,,,,
0,Yellow,240,228,66,f0,e4,42,f0e442,f0e442ff,,,,
0,Blue,0,114,178,0,72,b2,0072b2,0072b2ff,,,,
0,Vermillion,213,94,0,d5,5e,0,d55e00,d55e00ff,,,,
0,Reddish purple,204,121,167,cc,79,a7,cc79a7,cc79a7ff,,,,
#tolBright,,,,,,,,,,,,,
1,Blue,68,119,170,44,77,AA,4477AA,4477AAFF,,,,
1,Red,238,102,119,EE,66,77,EE6677,EE6677FF,,,,
1,Green,34,136,51,22,88,33,228833,228833FF,,,,
1,Yellow,204,187,68,CC,BB,44,CCBB44,CCBB44FF,,,,
1,Cyan,102,204,238,66,CC,EE,66CCEE,66CCEEFF,,,,
1,Purple,170,51,119,AA,33,77,AA3377,AA3377FF,,,,
1,Grey,187,187,187,BB,BB,BB,BBBBBB,BBBBBBFF,,,,
,,,,,,,,,,,,,
#tolHighContrast,,,,,,,,,,,,,
2,blue,0,68,136,0,44,88,004488,004488FF,,,,
2,yellow,221,170,51,DD,AA,33,DDAA33,DDAA33FF,,,,
2,red,187,85,102,BB,55,66,BB5566,BB5566FF,,,,
2,black,0,0,0,0,0,0,000000,000000FF,,,,
2,white,255,255,255,FF,FF,FF,FFFFFF,FFFFFFFF,,,,
,,,,,,,,,,,,,
#tolYlOrBr,,,,,,,,,,,,,
3,FFFFE5,255,255,229,FF,FF,E5,FFFFE5,FFFFE5FF,,,,
3,FFF7BC,255,247,188,FF,F7,BC,FFF7BC,FFF7BCFF,,,,
3,FEE391,254,227,145,FE,E3,91,FEE391,FEE391FF,,,,
3,FEC44F,254,196,79,FE,C4,4F,FEC44F,FEC44FFF,,,,
3,FB9A29,251,154,41,FB,9A,29,FB9A29,FB9A29FF,,,,
3,EC7014,236,112,20,EC,70,14,EC7014,EC7014FF,,,,
3,CC4C02,204,76,2,CC,4C,2,CC4C02,CC4C02FF,,,,
3,993404,153,52,4,99,34,4,993404,993404FF,,,,
3,662506,102,37,6,66,25,6,662506,662506FF,,,,
3,888888,136,136,136,88,88,88,888888,888888FF,,,,
,,,,,,,,,,,,,
#tolPale,,,,,,,,,,,,,
4,pale blue,187,204,238,BB,CC,EE,BBCCEE,BBCCEEFF,,,,
4,pale cyan,204,238,255,CC,EE,FF,CCEEFF,CCEEFFFF,,,,
4,pale green,204,221,170,CC,DD,AA,CCDDAA,CCDDAAFF,,,,
4,pale yellow,238,238,187,EE,EE,BB,EEEEBB,EEEEBBFF,,,,
4,pale red,255,204,204,FF,CC,CC,FFCCCC,FFCCCCFF,,,,
4,pale grey,221,221,221,DD,DD,DD,DDDDDD,DDDDDDFF,,,,
,,,,,,,,,,,,,
#tolDark,,,,,,,,,,,,,
5,dark blue,34,34,85,22,22,55,222255,222255FF,,,,
5,dark cyan,34,85,85,22,55,55,225555,225555FF,,,,
5,dark green,34,85,34,22,55,22,225522,225522FF,,,,
5,dark yellow,102,102,51,66,66,33,666633,666633FF,,,,
5,dark red,102,51,51,66,33,33,663333,663333FF,,,,
5,dark grey,85,85,85,55,55,55,555555,555555FF,,,,
,,,,,,,,,,,,,
#tolLight,,,,,,,,,,,,,
6,light blue,119,170,221,77,AA,DD,77AADD,77AADDFF,,,,
6,light cyan,153,221,255,99,DD,FF,99DDFF,99DDFFFF,,,,
6,mint,68,187,153,44,BB,99,44BB99,44BB99FF,,,,
6,pear,187,204,51,BB,CC,33,BBCC33,BBCC33FF,,,,
6,olive,170,170,0,AA,AA,0,AAAA00,AAAA00FF,,,,
6,light yellow,238,221,136,EE,DD,88,EEDD88,EEDD88FF,,,,
6,orange,238,136,102,EE,88,66,EE8866,EE8866FF,,,,
6,pink,255,170,187,FF,AA,BB,FFAABB,FFAABBFF,,,,
6,pale grey,221,221,221,DD,DD,DD,DDDDDD,DDDDDDFF,,,,
,,,,,,,,,,,,,
#unlColors,,,,,,,,,,,,,
7,Scarlet,208,0,0,D0,0,0,D00000,D00000FF,,,,
7,Cream,245,241,231,F5,F1,E7,F5F1E7,F5F1E7FF,,,,
7,Gray,199,200,202,C7,C8,CA,C7C8CA,C7C8CAFF,,,,
7,Lighter Cream,254,253,250,FE,FD,FA,FEFDFA,FEFDFAFF,,,,
7,Navy,0,18,38,0,12,26,1226,001226FF,,,,
7,Cerulean,36,154,181,24,9A,B5,249AB5,249AB5FF,,,,
7,Green,188,203,42,BC,CB,2A,BCCB2A,BCCB2AFF,,,,
7,Orange,245,138,31,F5,8A,1F,F58A1F,F58A1FFF,,,,
7,Lapis,0,93,132,0,5D,84,005D84,005D84FF,,,,
7,Yellow,255,215,79,FF,D7,4F,FFD74F,FFD74FFF,,,,
7,Purple,165,34,141,A5,22,8D,A5228D,A5228DFF,,,,
,,,,,,,,,,,,,
#tolPurpleGreen,,,,,,,,,,,,,
8,762A83,118,42,131,76,2A,83,762A83,762A83FF,,,,
8,9970AB,153,112,171,99,70,AB,9970AB,9970ABFF,,,,
8,C2A5CF,194,165,207,C2,A5,CF,C2A5CF,C2A5CFFF,,,,
8,E7D4E8,231,212,232,E7,D4,E8,E7D4E8,E7D4E8FF,,,,
8,F7F7F7,247,247,247,F7,F7,F7,F7F7F7,F7F7F7FF,,,,
8,D9F0D3,217,240,211,D9,F0,D3,D9F0D3,D9F0D3FF,,,,
8,ACD39E,172,211,158,AC,D3,9E,ACD39E,ACD39EFF,,,,
